,zip_cd,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,eligible_population,clusters_pca,clusters_label
256,46711,243,6667,2517,1390,7691,2,Medium
257,46714,450,17541,6557,3446,14004,2,Medium
258,46721,126,4469,1743,799,4809,2,Medium
259,46723,185,9170,3443,1794,7487,2,Medium
260,46725,855,30652,11636,5990,21861,1,High
261,46730,42,1399,538,261,1015,0,Low
262,46731,18,681,268,122,685,0,Low
263,46732,75,2750,1059,492,2856,0,Low
264,46733,536,23134,8690,4650,17560,2,Medium
265,46737,131,9795,3462,2037,7075,2,Medium
266,46738,215,8928,3411,1656,7868,2,Medium
267,46740,90,2438,926,494,3400,2,Medium
268,46741,71,2939,1116,574,4218,2,Medium
269,46742,99,4508,1631,941,3162,0,Low
270,46743,46,2227,848,417,1998,0,Low
271,46745,69,2615,981,563,1953,0,Low
272,46746,73,3442,1376,546,4400,2,Medium
273,46747,63,2833,1061,553,2189,0,Low
274,46748,164,10909,4131,2121,4764,2,Medium
275,46750,1493,33216,12925,6402,25075,1,High
276,46755,555,18597,7018,3688,14240,2,Medium
277,46759,16,480,182,100,499,0,Low
278,46760,20,1368,520,254,1266,0,Low
279,46761,227,8857,3366,1683,11053,1,High
280,46763,56,2108,801,419,1744,0,Low
281,46764,53,1399,558,247,1297,0,Low
282,46765,152,8118,3098,1559,5329,2,Medium
283,46766,13,472,191,80,737,0,Low
284,46767,165,8489,3333,1375,7448,2,Medium
285,46770,131,3179,1238,640,2829,0,Low
286,46771,3,113,42,22,72,0,Low
287,46772,47,1630,637,303,2736,2,Medium
288,46773,82,4464,1686,842,3203,0,Low
289,46774,426,23228,8671,4642,15779,2,Medium
290,46776,39,1826,656,371,1662,0,Low
291,46777,175,8132,3039,1620,6134,2,Medium
292,46779,29,2255,834,444,1917,0,Low
293,46781,32,860,329,177,674,0,Low
294,46783,399,11202,4231,2315,6168,2,Medium
295,46784,82,2786,1034,555,2003,0,Low
296,46785,35,1413,538,280,1596,0,Low
297,46786,1,61,22,12,39,0,Low
298,46787,140,3937,1502,778,3640,0,Low
299,46788,84,3064,1179,589,3296,0,Low
300,46791,29,1012,391,200,748,0,Low
301,46792,132,4713,1768,947,3584,0,Low
302,46793,131,4705,1802,924,4362,0,Low
303,46794,30,1381,519,274,1603,0,Low
304,46795,155,6737,2467,1408,6215,2,Medium
305,46797,97,3831,1464,736,3522,0,Low
306,46798,36,1850,689,373,1430,0,Low
307,46799,12,484,185,87,206,0,Low
308,46802,525,13044,5067,2313,9768,2,Medium
309,46803,265,9749,3881,1468,8687,2,Medium
310,46804,1039,52043,18808,10933,26816,1,High
311,46805,678,31828,11958,6125,20280,1,High
312,46806,691,28916,11548,4323,22607,1,High
313,46807,554,22829,8707,4233,16019,2,Medium
314,46808,615,25611,9790,4700,18419,2,Medium
315,46809,256,11510,4323,2223,8744,2,Medium
316,46814,688,31859,11690,6684,11797,1,High
317,46815,658,42875,15867,8505,26408,1,High
318,46816,676,25460,10045,4160,17518,2,Medium
319,46818,651,32189,12258,6102,19442,1,High
320,46819,257,12624,4723,2446,9011,2,Medium
321,46825,795,46308,17124,9229,27441,1,High
322,46835,930,57194,21054,11460,33150,1,High
323,46845,790,51522,18876,10702,21729,1,High
324,46901,1588,42792,16556,8120,37007,1,High
325,46902,1322,47850,18005,9433,33341,1,High
326,46910,162,3480,1353,684,3116,0,Low
327,46911,31,1193,458,234,1299,0,Low
328,46913,27,1505,571,285,1035,0,Low
329,46914,61,4632,1704,970,1665,2,Medium
330,46915,18,822,311,158,646,0,Low
331,46917,47,1777,685,326,1660,0,Low
332,46919,44,2343,884,447,2274,0,Low
333,46920,26,1181,440,239,1028,0,Low
334,46922,0,28,10,5,18,0,Low
335,46923,200,9491,3621,1784,7658,2,Medium
336,46926,27,1504,582,274,1233,0,Low
337,46928,101,5354,2000,1038,4035,0,Low
338,46929,89,3418,1310,646,2858,0,Low
339,46930,6,216,81,38,113,0,Low
340,46931,14,283,113,49,181,0,Low
341,46932,114,3678,1410,720,2880,0,Low
342,46933,141,7033,2699,1286,5639,2,Medium
343,46936,232,6817,2634,1333,5583,2,Medium
344,46938,83,2822,1113,505,2847,0,Low
345,46939,64,2176,813,444,1673,0,Low
346,46940,72,2788,1060,531,2526,0,Low
347,46941,32,1144,437,228,905,0,Low
348,46943,14,138,66,10,215,0,Low
349,46946,1,53,20,10,34,0,Low
350,46947,1475,35317,14094,6173,26100,1,High
351,46950,22,629,248,125,551,0,Low
352,46951,66,1969,770,351,1790,0,Low
353,46952,453,25230,9255,4980,17593,2,Medium
354,46953,444,21953,8245,4067,21989,1,High
355,46957,12,534,201,102,552,0,Low
356,46958,15,508,189,99,442,0,Low
357,46959,36,196,73,40,838,0,Low
358,46960,31,1394,522,264,1033,0,Low
359,46961,7,72,30,14,169,0,Low
360,46962,376,11406,4157,2328,8490,2,Medium
361,46967,3,143,53,28,91,0,Low
362,46968,4,128,52,20,114,0,Low
363,46970,537,23037,8942,4023,22382,1,High
364,46974,65,1552,612,277,1999,0,Low
365,46975,563,15617,5884,3136,13632,2,Medium
366,46978,64,2106,819,407,2035,0,Low
367,46979,225,6185,2442,1143,4747,0,Low
368,46982,104,2360,928,421,2478,0,Low
369,46984,7,369,133,77,177,0,Low
370,46985,21,1406,527,278,1374,0,Low
371,46986,33,2103,798,402,1589,0,Low
372,46987,28,1222,463,221,845,0,Low
373,46988,18,702,286,118,901,0,Low
374,46989,130,4842,1839,932,4746,2,Medium
375,46990,21,692,265,133,707,0,Low
376,46991,44,1646,640,301,1537,0,Low
377,46992,527,18869,7236,3519,15337,2,Medium
378,46994,99,2705,1039,541,2607,0,Low
379,46996,167,9010,3339,1813,5913,2,Medium
380,46998,9,101,38,19,226,0,Low
381,47001,435,12944,4852,2540,9656,2,Medium
382,47003,54,1001,397,187,765,0,Low
383,47006,322,18875,6920,3966,11049,2,Medium
384,47010,13,325,125,66,180,0,Low
385,47011,51,840,331,169,757,0,Low
386,47012,332,11914,4498,2332,8892,2,Medium
387,47016,24,1067,410,190,774,0,Low
388,47017,31,647,249,130,481,0,Low
389,47018,251,4944,1897,992,4160,0,Low
390,47020,32,992,371,197,1237,0,Low
391,47022,104,4110,1562,803,2921,0,Low
392,47023,43,1632,612,329,1536,0,Low
393,47024,90,2125,844,381,3369,2,Medium
394,47025,909,32085,12075,6241,21368,1,High
395,47030,30,1331,523,238,1954,0,Low
396,47031,184,5866,2234,1161,5181,2,Medium
397,47032,117,3777,1445,714,2968,0,Low
398,47034,5,192,71,36,127,0,Low
399,47035,7,280,107,55,246,0,Low
400,47036,32,1831,630,387,824,0,Low
401,47037,117,4288,1649,798,4231,2,Medium
402,47038,62,1095,417,221,1617,0,Low
403,47040,338,6938,2604,1455,4871,0,Low
404,47041,170,6722,2567,1303,6375,2,Medium
405,47042,197,4762,1817,942,3940,0,Low
406,47043,160,5587,2098,1068,5012,2,Medium
407,47060,234,8601,3332,1597,5679,2,Medium
408,47102,378,7373,2903,1373,6495,2,Medium
409,47104,0,0,0,0,0,0,Low
410,47106,319,6470,2491,1261,4694,0,Low
411,47108,98,2453,960,450,2242,0,Low
412,47110,22,422,174,68,374,0,Low
413,47111,1114,23752,9287,4437,16166,2,Medium
414,47112,950,23713,8996,4610,15797,2,Medium
415,47114,24,558,219,101,311,0,Low
416,47115,113,3259,1227,650,2802,0,Low
417,47116,13,816,293,165,674,0,Low
418,47117,229,5761,2191,1106,4222,0,Low
419,47118,154,3922,1486,757,3192,0,Low
420,47119,796,21331,7948,4417,11094,1,High
421,47120,35,1150,440,205,665,0,Low
422,47122,571,17805,6663,3578,10124,2,Medium
423,47123,6,245,86,51,106,0,Low
424,47124,259,7604,2869,1495,4759,2,Medium
425,47125,86,1964,760,374,1435,0,Low
426,47126,319,6152,2386,1197,4349,0,Low
427,47129,919,27639,10647,4761,18369,1,High
428,47130,2756,72658,27426,13778,43531,1,High
429,47135,57,1469,552,293,894,0,Low
430,47136,219,7177,2685,1421,4109,2,Medium
431,47137,62,1866,695,378,1443,0,Low
432,47138,214,5202,1996,1009,4278,0,Low
433,47140,123,3188,1211,616,2444,0,Low
434,47141,104,1862,754,351,1455,0,Low
435,47142,46,881,365,145,982,0,Low
436,47143,252,4876,1913,933,2809,0,Low
437,47145,79,2628,970,520,1829,0,Low
438,47147,35,1359,515,276,1164,0,Low
439,47150,2699,75093,27982,14618,45326,1,High
440,47160,11,235,97,39,103,0,Low
441,47161,184,4772,1849,889,3119,0,Low
442,47162,34,1038,407,196,709,0,Low
443,47163,101,1941,751,387,1188,0,Low
444,47164,153,4678,1761,901,3915,0,Low
