,zip_cd,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,eligible_population,clusters_pca,clusters_label
726,47926,24,1071,405,198,1440,0,Low
727,47928,51,1573,627,277,1894,0,Low
728,47929,33,958,359,203,594,0,Low
729,47930,28,1417,532,270,1211,0,Low
730,47932,146,5425,2060,983,5027,2,Medium
731,47933,901,36035,13652,6809,25996,1,High
732,47940,44,1624,620,321,1617,0,Low
733,47941,26,1865,683,367,1335,0,Low
734,47942,20,776,286,158,678,0,Low
735,47943,66,1071,445,179,999,0,Low
736,47944,110,4791,1814,965,3192,0,Low
737,47946,52,2187,817,426,2072,0,Low
738,47948,37,1346,516,243,1408,0,Low
739,47949,43,1257,488,233,1120,0,Low
740,47950,30,829,319,159,846,0,Low
741,47951,36,2481,905,498,2043,0,Low
742,47952,64,2271,884,404,2794,0,Low
743,47954,56,2331,914,418,2249,0,Low
744,47955,29,1292,495,246,934,0,Low
745,47957,35,1666,626,323,1716,0,Low
746,47958,8,134,56,24,137,0,Low
747,47959,74,2953,1148,508,2781,0,Low
748,47960,506,20974,7827,4166,13897,2,Medium
749,47963,46,2246,833,454,1971,0,Low
750,47964,6,96,36,20,106,0,Low
751,47965,13,604,239,104,588,0,Low
752,47966,17,461,178,86,343,0,Low
753,47967,24,861,330,158,617,0,Low
754,47968,29,1060,403,208,971,0,Low
755,47969,4,149,55,29,95,0,Low
756,47970,55,2511,950,476,1726,0,Low
757,47971,50,2623,985,518,1873,0,Low
758,47974,38,879,356,143,1131,0,Low
759,47975,27,1041,377,223,611,0,Low
760,47977,79,2607,987,500,2220,0,Low
761,47978,562,12704,4858,2505,10712,2,Medium
762,47980,32,1344,507,257,955,0,Low
763,47981,24,1103,410,213,1052,0,Low
764,47982,6,98,39,12,160,0,Low
765,47983,7,408,156,75,280,0,Low
766,47987,114,3480,1355,649,3806,2,Medium
767,47989,39,1127,431,218,1288,0,Low
768,47990,31,1820,700,347,1837,0,Low
769,47991,25,1107,415,213,893,0,Low
770,47992,42,2130,770,439,1327,0,Low
771,47993,144,4396,1678,859,3502,0,Low
772,47994,20,538,213,96,296,0,Low
773,47995,54,1890,733,352,1516,0,Low
774,47997,5,104,37,19,122,0,Low
